Borough,Attended_College,Completed_4YRs_College,Sex,Economics_Major,Transportation_to_Work,Employment_Status,Age,Income,Education
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,35000,11
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,80,0,13
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,25,9000,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,78,0,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,79,7900,11
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,44,0,11
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,50,0,11
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,77,12000,12
Manhattan,Yes,Yes,Female,Different Major,Bicycle,Employed,26,35000,16
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,51,12900,11
Bronx,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,33,8800,13
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,34,330,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,52,0,11
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,49,24000,12
Brooklyn,No,No,Male,Didn't Complete College,Worked from Home,Employed,49,2400,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,79,10600,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,29,2300,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,47,11600,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,43,0,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,55,14200,11
Manhattan,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,48,0,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,44,16200,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,71,10300,12
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,82,10100,11
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,76,18000,16
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,27,550,12
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,64,11900,13
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,28,20000,17
Manhattan,Yes,No,Male,Didn't Complete College,Subway,Employed,29,9600,12
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,83,6000,14
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,59,0,11
Manhattan,No,No,Female,Didn't Complete College,Not working,Unemployed,49,290,11
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,60,0,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,62,0,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,54,3700,11
Queens,Yes,Yes,Male,Different Major,Worked from Home,Employed,66,46500,17
Queens,No,No,Male,Didn't Complete College,Not working,Unemployed,39,6200,12
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,63,9800,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,65,0,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,38,600,11
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,37,1400,12
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,51,170,12
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,18000,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,32,3500,11
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,42,85700,17
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,91,4800,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,72,10700,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,81,0,12
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,57,0,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,75,17600,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,38,200,11
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,50,21600,12
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,84,16800,17
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,67,9800,13
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,28,0,16
Manhattan,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,78,600,13
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,49,66900,14
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,65,4300,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,73,0,11
Staten Island,No,No,Female,Didn't Complete College,Not working,Not in labor force,69,2000,11
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,27,36000,16
Bronx,Yes,Yes,Male,Different Major,Worked from Home,Employed,55,15600,16
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,80,27500,16
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,59,0,11
Manhattan,No,No,Male,Didn't Complete College,Subway,Employed,45,27000,12
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,40,9000,13
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,79,7900,11
Manhattan,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,65,590,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,11600,12
Bronx,Yes,Yes,Female,Different Major,Not working,Not in labor force,77,0,17
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,67,9000,11
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,47,590,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,70,29700,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,69,18200,11
Bronx,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,36,14200,12
Staten Island,No,No,Female,Didn't Complete College,Not working,Not in labor force,33,2000,12
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,74,18400,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,79,20300,12
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,25,0,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,68,7900,11
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,25,0,11
Manhattan,Yes,Yes,Male,Different Major,Not working,Not in labor force,26,0,16
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,48,0,13
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,40,4300,12
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,90,10200,13
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,30,0,16
Staten Island,No,No,Male,Didn't Complete College,Not working,Not in labor force,71,7200,12
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,25,53300,13
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,64,37800,14
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,89,12000,12
Staten Island,No,No,Male,Didn't Complete College,Not working,Not in labor force,59,2300,12
Bronx,Yes,No,Female,Didn't Complete College,Subway,Employed,26,15850,14
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,77,7200,12
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,54,14200,13
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,70,0,14
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,66,20400,12
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,58,10000,12
Queens,No,No,Male,Didn't Complete College,Walking,Employed,40,17100,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,65,9400,12
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,48,0,12
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,64,10400,13
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,56,14200,11
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,91,35000,17
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,39,0,12
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,70,0,16
Manhattan,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,37,13800,12
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,75,21600,17
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,82,10100,11
Bronx,No,No,Male,Didn't Complete College,Car,Employed,41,350000,11
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,56,10200,12
Queens,Yes,Yes,Male,Different Major,Walking,Employed,58,38400,16
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,37,1400,12
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,66,0,13
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,80,9000,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,83,7900,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,70,29700,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,26,2900,12
Bronx,Yes,Yes,Female,Different Major,Not working,Not in labor force,59,43600,16
Staten Island,No,No,Female,Didn't Complete College,Not working,Not in labor force,54,600,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,42,17600,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,88,10500,11
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,78,9200,14
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,75,49900,11
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,59,16900,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,49,0,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,51,8800,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,42,3400,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,52,10000,11
Queens,Yes,Yes,Male,Different Major,Not working,Not in labor force,77,10300,16
Manhattan,No,No,Male,Didn't Complete College,Not working,Unemployed,25,13000,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,78,9200,11
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,46,0,11
Queens,Yes,Yes,Male,Different Major,Worked from Home,Employed,49,35000,17
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,10900,12
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,88,30000,17
Staten Island,No,No,Female,Didn't Complete College,Not working,Not in labor force,38,2300,12
Manhattan,No,No,Male,Didn't Complete College,Subway,Employed,49,14550,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,69,12300,11
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,49,2200,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,35,0,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,35,5700,11
Bronx,No,No,Female,Didn't Complete College,Not working,Unemployed,32,7000,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,89,13000,11
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,66,10400,11
Bronx,Yes,No,Female,Didn't Complete College,Subway,Employed,38,25340,14
Bronx,Yes,Yes,Male,Different Major,Worked from Home,Employed,53,37300,17
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,79,15400,17
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,83,11300,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,31,0,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,57,10900,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,68,7400,12
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,74,24730,17
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,29,14200,11
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,67,9000,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,51,15700,11
Staten Island,No,No,Male,Didn't Complete College,Not working,Not in labor force,57,600,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,69,18200,11
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,81,9600,14
Manhattan,Yes,Yes,Male,Different Major,Not working,Not in labor force,54,15400,16
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,51,2500,11
Bronx,Yes,No,Female,Didn't Complete College,Bus,Employed,37,10800,14
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,59,9200,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,76,16800,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,38,600,11
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,27,4900,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,0,12
Manhattan,Yes,No,Male,Didn't Complete College,Walking,Employed,33,15600,14
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,83,7900,11
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,89,3400,16
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,25,0,13
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,81,0,13
Manhattan,No,No,Male,Didn't Complete College,Walking,Employed,67,12000,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,28,0,12
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,77,600,11
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,67,9800,13
Staten Island,No,No,Female,Didn't Complete College,Not working,Not in labor force,33,2000,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,81,0,11
Manhattan,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,45,15400,13
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,54,12500,11
Staten Island,No,No,Male,Didn't Complete College,Not working,Not in labor force,54,2300,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,12600,11
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,33,9000,13
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,84,43400,12
Bronx,No,No,Male,Didn't Complete College,Subway,Employed,32,25100,12
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,74,24730,17
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,30,11000,11
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,70,37000,17
Staten Island,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,7200,11
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,76,12000,17
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,36,23000,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,64,0,12
Bronx,No,No,Male,Didn't Complete College,Not working,Unemployed,31,0,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,82,12000,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,73,7900,12
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,76,18000,16
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,95,0,13
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,80,27500,16
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,83,15600,11
Bronx,No,No,Female,Didn't Complete College,Subway,Employed,32,29900,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,43,0,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,81,9500,12
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,73,46500,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,81,1400,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,59,17600,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,82,11900,11
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,41,14200,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,87,0,12
Staten Island,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,46,600,13
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,61,7200,12
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,88,30000,17
Bronx,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,52,0,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,95,15600,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,49,2200,12
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,37,2400,11
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,52,9200,12
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,36,0,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,74,11000,11
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,30,0,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,68,10800,11
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,75,35600,12
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,600,12
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,28,9000,11
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,61,16800,12
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,76,12200,16
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,41,19690,14
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,78,0,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,63,14400,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,72,20800,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,59,0,12
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,54,16900,17
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,53,114000,16
Queens,No,No,Male,Didn't Complete College,Walking,Employed,40,17100,12
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,44,8700,14
Queens,Yes,No,Male,Didn't Complete College,Subway,Employed,47,9100,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,80,0,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,74,7900,12
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,43,14400,13
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,54,20300,11
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,75,21600,17
Manhattan,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,51,12300,12
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,6800,12
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,66,6500,13
Manhattan,No,No,Male,Didn't Complete College,Subway,Employed,65,10000,12
Manhattan,No,No,Male,Didn't Complete College,Not working,Unemployed,35,16200,12
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,81,0,13
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,61,3400,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,86,35000,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,89,15000,12
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,56,16200,14
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,88,35000,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,59,0,12
Queens,No,No,Male,Didn't Complete College,Not working,Employed,34,14550,11
Brooklyn,Yes,Yes,Male,Yes,Not working,Not in labor force,72,35000,16
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,70,37000,17
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,95,10600,16
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,42,21600,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,61,6500,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,81,0,12
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,52,0,12
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,63,16400,14
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,33,400,11
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,33,18300,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,55,0,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,64,10400,12
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,48,1700,12
Staten Island,No,No,Female,Didn't Complete College,Not working,Not in labor force,78,7200,12
Manhattan,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,37,13800,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,56,3800,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,83,18200,11
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,71,9800,13
Staten Island,No,No,Female,Didn't Complete College,Not working,Not in labor force,90,7200,12
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,37,10300,12
Bronx,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,58,0,13
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,53,14500,11
Manhattan,Yes,No,Male,Didn't Complete College,Subway,Employed,39,27700,12
Manhattan,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,48,0,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,7900,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,95,11000,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,34,0,11
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,76,12000,17
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,56,10200,12
Queens,Yes,Yes,Male,Yes,Not working,Not in labor force,95,0,16
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,59,0,12
Manhattan,Yes,Yes,Male,Different Major,Not working,Not in labor force,55,0,16
Manhattan,No,No,Male,Didn't Complete College,Subway,Employed,52,27000,12
Bronx,Yes,Yes,Female,Different Major,Not working,Not in labor force,62,12000,16
Brooklyn,Yes,Yes,Male,Different Major,Walking,Employed,25,4000,16
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,37,10300,12
Bronx,Yes,No,Male,Didn't Complete College,Subway,Employed,36,12600,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,85,35000,12
Queens,Yes,Yes,Female,Different Major,Not working,Unemployed,64,28800,17
